p,N,beta,method,x_eval,u_exact_dd,u_h_dd
2,2,1.55,uniform,1.4939934636052563e-05,126.54280991156396,1.6892223211557864
2,2,1.55,uniform,1.5288635880587294e-05,125.23578887807346,1.6892223211557864
2,2,1.55,uniform,1.564547588616096e-05,123.94226765530455,1.6892223211557864
2,2,1.55,uniform,1.6010644613183176e-05,122.66210680794225,1.6892223211557864
2,2,1.55,uniform,1.6384336455779847e-05,121.39516834085524,1.6892223211557864
2,2,1.55,uniform,1.676675034527701e-05,120.14131568422066,1.6892223211557864
2,2,1.55,uniform,1.7158089856100067e-05,118.90041367880256,1.6892223211557864
2,2,1.55,uniform,1.7558563314144703e-05,117.67232856138243,1.6892223211557864
2,2,1.55,uniform,1.7968383907677192e-05,116.45692795034017,1.6892223211557864
2,2,1.55,uniform,1.8387769800823267e-05,115.25408083138369,1.6892223211557864
2,2,1.55,uniform,1.8816944249705553e-05,114.06365754342674,1.6892223211557864
2,2,1.55,uniform,1.9256135721291986e-05,112.88552976461173,1.6892223211557864
2,2,1.55,uniform,1.970557801501796e-05,111.7195704984775,1.6892223211557864
2,2,1.55,uniform,2.0165510387247444e-05,110.56565406026907,1.6892223211557864
2,2,1.55,uniform,2.0636177678638567e-05,109.42365606339038,1.6892223211557864
2,2,1.55,uniform,2.111783044448242e-05,108.29345340599536,1.6892223211557864
2,2,1.55,uniform,2.1610725088083767e-05,107.17492425771836,1.6892223211557864
2,2,1.55,uniform,2.2115123997254888e-05,106.06794804654139,1.6892223211557864
2,2,1.55,uniform,2.2631295683995298e-05,104.97240544579707,1.6892223211557864
2,2,1.55,uniform,2.3159514927431545e-05,103.88817836130579,1.6892223211557864
2,2,1.55,uniform,2.3700062920093303e-05,102.81514991864567,1.6892223211557864
2,2,1.55,uniform,2.4253227417603554e-05,101.75320445055415,1.6892223211557864
2,2,1.55,uniform,2.4819302891862576e-05,100.70222748445961,1.6892223211557864
2,2,1.55,uniform,2.539859068780724e-05,99.66210573014177,1.6892223211557864
2,2,1.55,uniform,2.5991399183829328e-05,98.63272706751935,1.6892223211557864
2,2,1.55,uniform,2.6598043955937582e-05,97.61398053456445,1.6892223211557864
2,2,1.55,uniform,2.7218847945751794e-05,96.60575631534115,1.6892223211557864
2,2,1.55,uniform,2.785414163241763e-05,95.60794572816799,1.6892223211557864
2,2,1.55,uniform,2.8504263208534317e-05,94.6204412139023,1.6892223211557864
2,2,1.55,uniform,2.916955876018793e-05,93.64313632434633,1.6892223211557864
2,2,1.55,uniform,2.9850382451187297e-05,92.67592571077233,1.6892223211557864
2,2,1.55,uniform,3.054709671159968e-05,91.7187051125666,1.6892223211557864
2,2,1.55,uniform,3.1260072430687034e-05,90.77137134599054,1.6892223211557864
2,2,1.55,uniform,3.1989689154345374e-05,89.83382229305819,1.6892223211557864
2,2,1.55,uniform,3.273633528715247e-05,88.90595689052815,1.6892223211557864
2,2,1.55,uniform,3.350040829913136e-05,87.98767511900964,1.6892223211557864
2,2,1.55,uniform,3.4282314937339745e-05,87.07887799218081,1.6892223211557864
