# loss=eq26 uniform_same_level eps=1e-12; h1_rel_val_median=median over FIXED val subset size=8 seed=0 vs immersed IGA self-reference (cache=/scratch/ecaru/repo_pro/references/reference_lshape.pkl)
iteration,train_loss,val_eta2,h1_rel_val_median
342,4.865189e-02,5.396207e-02,2.360524e-03
343,4.815831e-02,5.388981e-02,2.361685e-03
344,4.880098e-02,5.378211e-02,2.356320e-03
345,4.792869e-02,5.377279e-02,2.344355e-03
346,4.830994e-02,5.365513e-02,2.339409e-03
347,4.881057e-02,5.354193e-02,2.341407e-03
348,4.811383e-02,5.355606e-02,2.336231e-03
349,4.781943e-02,5.340238e-02,2.337793e-03
350,4.794144e-02,5.337321e-02,2.331699e-03
351,4.772787e-02,5.331394e-02,2.325777e-03
352,4.765485e-02,5.325009e-02,2.325045e-03
353,4.795134e-02,5.315426e-02,2.318742e-03
354,4.772802e-02,5.310158e-02,2.319236e-03
355,4.711099e-02,5.304815e-02,2.307039e-03
356,4.729027e-02,5.301428e-02,2.297918e-03
357,4.755021e-02,5.310328e-02,2.294794e-03
358,4.712718e-02,5.289153e-02,2.291298e-03
359,4.794625e-02,5.283304e-02,2.296208e-03
360,4.724141e-02,5.280791e-02,2.280395e-03
361,4.732080e-02,5.278639e-02,2.293612e-03
362,4.710535e-02,5.268668e-02,2.280286e-03
363,4.734769e-02,5.265117e-02,2.276158e-03
364,4.701535e-02,5.267121e-02,2.271039e-03
365,4.765311e-02,5.260384e-02,2.262088e-03
366,4.721102e-02,5.253719e-02,2.259116e-03
367,4.720586e-02,5.253519e-02,2.253702e-03
368,4.676536e-02,5.249765e-02,2.265533e-03
369,4.734351e-02,5.244999e-02,2.264214e-03
370,4.672731e-02,5.239670e-02,2.250206e-03
371,4.666836e-02,5.244276e-02,2.239025e-03
372,4.647378e-02,5.235148e-02,2.237310e-03
373,4.641766e-02,5.229486e-02,2.240844e-03
374,4.718194e-02,5.226813e-02,2.249429e-03
375,4.652435e-02,5.228060e-02,2.233112e-03
376,4.652112e-02,5.222772e-02,2.233878e-03
377,4.719504e-02,5.219464e-02,2.242840e-03
378,4.644362e-02,5.217884e-02,2.232746e-03
379,4.654218e-02,5.212273e-02,2.238243e-03
380,4.649169e-02,5.212848e-02,2.236159e-03
381,4.630061e-02,5.209671e-02,2.227710e-03
